Title,SHEET,TYPE
Jeerka Mittai Bottle Small ( Petti Kada Mittai),PACKED,CANDY
Thaen Mittai (Petti Kada Mittai),PACKED,CANDY
Puli Shot Bottle Small (Petti Kada Mittai),PACKED,CANDY
Chow Mittai Bottle Small (Petti Kada Mittai),PACKED,CANDY
Gas Mittai Bottle Small (Petti Kada Mittai),PACKED,CANDY
Naranga Mttai Bottle Small (Petti Kada Mittai),PACKED,CANDY
Kerala Pappadam,PACKED,SNACK
Petti Kada Nostalgic Candies Combo (7 Varieties),PACKED,CANDY
Peanut Chikki Combo (2 Varieties),PACKED,CHIKKI
"Tapioca Chips, Banana Chips & Murukku Combo (3 Varieties)",PACKED,CHIPS
Cleaned Nadan Cheriya Ulli (300g) & Grated Kerala Coconut (200g),PROD,EXTRA
Super Thin Kerala Banana Chips Combo (3 Varieties),PACKED,BANANA
Murukku Combo (3 Varieties),PACKED,MURUKKU
Prawns Roast & Prawns Chutney Powder Combo (2 Varieties),PACKED,CHUTNEY
Chutney Powders Combo (3 Varieties),PACKED,CHUTNEY
Super Thin Banana Chips Coconut Oil (Classic Salted),PACKED,BANANA
Pazham Pori,PROD,SNACK
Vadukapuli Lime Hot & Sweet Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Lime Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Kozikoden Red Halwa (Made in Coconut Oil),PACKED,HALWA
Kozikoden Black Halwa (Made in Coconut Oil),PACKED,HALWA
Vettu Cake,PACKED,SNACK
Oats & Jaggery Cookies,PACKED,COOKIE
Spicy Masala Cookies,PACKED,COOKIE
Coconut Biscuits,PACKED,COOKIE
Kerala Laddu,PACKED,BAKERY
Dilkush / Coconut Bun,PACKED,BAKERY
Sweet Porotta,PACKED,BAKERY
Sweet Bun / Soft,PACKED,BAKERY
Cream Bun,PACKED,BAKERY
Cream Bun,PACKED,BAKERY
Kerala Bakery Soft Bread (Pacha Rotti),PACKED,BAKERY
Exotic Rum Plum Cake,PACKED,CAKE
JD Plum Cake,PACKED,CAKE
Exotic Eggless Plum Cake,PACKED,CAKE
Crushed Coconut Peanut Chikki Jar,PACKED,CHIKKI
Omega Peanut Chikki Jar,PACKED,CHIKKI
Flaxseed Peanut Chikki Jar,PACKED,CHIKKI
Pumpkin Seed Peanut Chikki Jar,PACKED,CHIKKI
Multigrain Peanut Chikki Jar,PACKED,CHIKKI
Coconut Jaggery Peanut Chikki Jar,PACKED,CHIKKI
Chia Seed Peanut Chikki Jar,PACKED,CHIKKI
Brahmi Peanut Chikki Jar,PACKED,CHIKKI
Ashwagandha Peanut Chikki Jar,PACKED,CHIKKI
Moringa Peanut Chikki Jar,PACKED,CHIKKI
Eggless X'mas Cake Tasting Sample Box,PACKED,CAKE
X'mas Cakes Tasting Sample Box,PACKED,CAKE
Super Thin Vacuum Fried Banana Chips,PACKED,BANANA
Eggless Spice Cake,PACKED,CAKE
Chocolate Mud Cake,PROD,CAKE
Marble Cake,PROD,CAKE
Ghee Cake,PROD,CAKE
Banana and Walnut Cake,PROD,CAKE
Carrot and Dates Cake,PROD,CAKE
Classic Plum Cake,PACKED,CAKE
Eggless Plum Cake,PACKED,CAKE
Rich Plum Cake,PACKED,CAKE
Sugar Free Stevia Plum Cake,PACKED,CAKE
Tender Mango / Kanni Manga Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Jackfruit Chips (Chakka Chips),PACKED,SNACK
White Lime Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Prawns Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Hot & Sweet Lime Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Garlic Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Fish Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Erachi Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Cut Mango Pickle (Less Salty Kerala Home-made),PACKED,PICKLE
Sweet Rice Tubes (Sweet Kuzhalappam),PACKED,SNACK
Rose Cookies (Achappam / Achu Murukku),PACKED,SNACK
Kerala Pappadam (Papad),PACKED,SNACK
Dry Prawns Roast (Chemmeen Roast),PACKED,CHUTNEY
Gun Powder Chutney (Idli/Dosa Molag Powder),PACKED,CHUTNEY
Coconut Chutney Powder (Thenga Chamanthi Podi),PACKED,CHUTNEY
Blackened Gooseberry Pickle (Kari Nellika),PACKED,CHUTNEY
Prawns Chutney Powder (Chemmeen Chammanthi Podi),PACKED,CHUTNEY
Dry Chilli Chutney (Chuttu Aracha Mulaku Chammanthi),PACKED,CHUTNEY
Idi Erachi (Pounded Meat),PACKED,CHUTNEY
